Date,Open,High,Low,Close,Adj Close,Volume
2023-07-31,503.0,507.8800048828125,499.05999755859375,506.3699951171875,489.36212158203125,2441600
2023-08-01,507.5,510.0400085449219,502.489990234375,504.739990234375,487.78692626953125,2161200
2023-08-02,509.69000244140625,510.4700012207031,502.989990234375,504.79998779296875,487.84490966796875,3220500
2023-08-03,502.8900146484375,506.0,501.0400085449219,504.8599853515625,487.9028625488281,2442900
2023-08-04,510.0,510.8999938964844,501.75,502.7300109863281,485.84442138671875,2411200
2023-08-07,505.739990234375,513.5999755859375,504.6499938964844,510.739990234375,493.58538818359375,2430900
2023-08-08,503.0,508.1700134277344,500.0199890136719,505.8599853515625,488.8692626953125,2422600
2023-08-09,504.0,505.7300109863281,500.8800048828125,502.1099853515625,485.2452392578125,1916900
2023-08-10,504.4700012207031,512.0399780273438,502.7799987792969,503.4800109863281,486.5692138671875,2179700
2023-08-11,505.6300048828125,510.6700134277344,504.25,508.010009765625,490.9471130371094,2029600
2023-08-14,509.1499938964844,513.5,508.25,510.92999267578125,493.76898193359375,2127200
2023-08-15,511.5799865722656,513.6500244140625,506.2699890136719,506.69000244140625,489.6714172363281,1817500
2023-08-16,508.0,510.5,502.8299865722656,503.55999755859375,486.64654541015625,1454100
2023-08-17,495.4800109863281,501.2300109863281,491.82000732421875,493.9599914550781,477.3689880371094,3009500
2023-08-18,494.7799987792969,500.94000244140625,493.5,498.44000244140625,481.698486328125,2364400
2023-08-21,497.510009765625,500.25,496.2200012207031,497.67999267578125,480.9640197753906,1533500
2023-08-22,495.4200134277344,496.7900085449219,491.3299865722656,492.3399963378906,475.8033752441406,2079400
2023-08-23,493.0,494.0,487.92999267578125,489.44000244140625,473.00079345703125,2011400
2023-08-24,491.42999267578125,495.4200134277344,487.2099914550781,488.1000061035156,471.7057800292969,2311100
2023-08-25,489.9200134277344,491.1499938964844,484.6499938964844,489.1199951171875,472.69158935546875,1923500
2023-08-28,490.489990234375,493.05999755859375,489.1300048828125,491.2799987792969,474.7790222167969,1344500
2023-08-29,491.4700012207031,492.94000244140625,487.9700012207031,492.8299865722656,476.2769470214844,2113700
2023-08-30,493.989990234375,496.7099914550781,490.2900085449219,491.5299987792969,475.0206298828125,2283400
2023-08-31,492.3599853515625,493.82000732421875,476.2900085449219,476.5799865722656,460.5727233886719,4927700
2023-09-01,479.0,480.6499938964844,473.3599853515625,476.239990234375,460.244140625,3165900
2023-09-05,478.0,484.6000061035156,477.5400085449219,480.80999755859375,464.6606140136719,3443300
2023-09-06,482.0899963378906,483.1600036621094,476.3800048828125,476.94000244140625,460.9206237792969,2596100
2023-09-07,479.8999938964844,487.1099853515625,478.6000061035156,484.80999755859375,468.5263366699219,2928000
2023-09-08,480.19000244140625,482.9700012207031,478.75,480.7699890136719,466.4306945800781,1858400
2023-09-11,481.9800109863281,483.8399963378906,478.0,479.3800048828125,465.0821838378906,2059200
2023-09-12,477.3800048828125,483.6400146484375,472.1199951171875,479.8999938964844,465.586669921875,2195200
2023-09-13,481.42999267578125,484.0400085449219,479.4599914550781,479.8399963378906,465.5284729003906,2197800
2023-09-14,482.6300048828125,485.2699890136719,478.7799987792969,483.6000061035156,469.17633056640625,2334300
2023-09-15,485.739990234375,489.82000732421875,484.1400146484375,486.70001220703125,472.1838684082031,5334300
2023-09-18,488.4100036621094,488.739990234375,483.6000061035156,486.05999755859375,471.56298828125,1997500
2023-09-19,483.760009765625,485.7300109863281,476.5400085449219,480.6600036621094,466.323974609375,3230700
2023-09-20,482.75,495.1099853515625,479.1400146484375,492.1300048828125,477.4519348144531,3724800
2023-09-21,494.19000244140625,505.1400146484375,493.0799865722656,501.1400146484375,486.1932067871094,4703900
2023-09-22,499.0,509.42999267578125,498.0299987792969,506.1000061035156,491.0052795410156,4558500
2023-09-25,508.260009765625,510.94000244140625,506.6300048828125,510.2799987792969,495.060546875,2758500
2023-09-26,508.94000244140625,509.4200134277344,504.3800048828125,505.45001220703125,490.37469482421875,2420200
2023-09-27,506.2300109863281,506.3599853515625,501.04998779296875,503.7300109863281,488.7059631347656,2593700
2023-09-28,505.9700012207031,514.1500244140625,505.010009765625,510.1000061035156,494.8859558105469,2922000
2023-09-29,509.8500061035156,509.8800048828125,503.79998779296875,504.19000244140625,489.1521911621094,3006200
2023-10-02,505.5299987792969,514.8400268554688,503.1400146484375,514.5700073242188,499.22265625,3550400
2023-10-03,513.2999877929688,513.97998046875,508.3599853515625,509.4700012207031,494.2747802734375,3143200
2023-10-04,509.489990234375,511.82000732421875,506.6099853515625,510.6199951171875,495.39044189453125,2801700
2023-10-05,511.6199951171875,518.2100219726562,511.2300109863281,516.22998046875,500.8330993652344,2790700
2023-10-06,516.4500122070312,525.9500122070312,515.97998046875,524.8099975585938,509.1572265625,3647200
2023-10-09,521.1500244140625,526.8699951171875,520.25,526.510009765625,510.8065490722656,2341600
2023-10-10,526.5,528.1400146484375,523.0800170898438,524.239990234375,508.604248046875,2455700
2023-10-11,520.9199829101562,525.5900268554688,520.22998046875,524.1300048828125,508.49749755859375,2819300
2023-10-12,524.469970703125,528.5800170898438,522.25,525.5399780273438,509.8653259277344,2377300
2023-10-13,533.25,544.4600219726562,532.0,539.4000244140625,523.3120727539062,5245400
2023-10-16,543.1799926757812,546.780029296875,536.1199951171875,538.030029296875,521.98291015625,3827600
2023-10-17,539.9400024414062,542.4299926757812,534.5700073242188,536.6500244140625,520.6441040039062,2586000
2023-10-18,543.0399780273438,543.97998046875,535.4000244140625,536.0599975585938,520.0716552734375,2551400
2023-10-19,536.8200073242188,538.3400268554688,529.25,531.6300048828125,515.7738037109375,2351200
2023-10-20,531.0,534.4299926757812,526.77001953125,527.030029296875,511.31103515625,2811100
2023-10-23,527.030029296875,527.780029296875,520.2899780273438,521.5700073242188,506.0138854980469,2357700
2023-10-24,522.8599853515625,530.6699829101562,522.0700073242188,525.0,509.34161376953125,1978200
2023-10-25,527.27001953125,532.3599853515625,520.0800170898438,530.2100219726562,514.3961181640625,2380100
2023-10-26,525.7000122070312,530.469970703125,522.52001953125,528.3599853515625,512.6012573242188,2675800
2023-10-27,525.989990234375,527.739990234375,521.260009765625,524.6599731445312,509.0116271972656,2585600
2023-10-30,525.0,531.8200073242188,522.9400024414062,529.989990234375,514.1826782226562,2555400
2023-10-31,535.0,536.6799926757812,531.6199951171875,535.5599975585938,519.5866088867188,2464200
2023-11-01,529.97998046875,535.8300170898438,526.7999877929688,531.5999755859375,515.7446899414062,2747400
2023-11-02,532.0,536.8400268554688,526.9500122070312,536.1300048828125,520.1395874023438,2350900
2023-11-03,534.5700073242188,535.97998046875,528.7999877929688,530.9000244140625,515.0656127929688,2739500
2023-11-06,531.6300048828125,536.02001953125,530.0499877929688,533.4600219726562,517.5492553710938,2684900
2023-11-07,535.3599853515625,539.6500244140625,531.52001953125,537.8300170898438,521.7889404296875,2604800
2023-11-08,540.0,541.4000244140625,534.1400146484375,536.72998046875,520.7216186523438,1769200
2023-11-09,537.5999755859375,540.9099731445312,534.47998046875,539.0,522.9240112304688,1819600
