Index,Date,SPY_AdjClose,SPY_LogReturn,AAPL_AdjClose,AAPL_LogReturn,UNH_AdjClose,UNH_LogReturn,JPM_AdjClose,JPM_LogReturn,AMZN_AdjClose,AMZN_LogReturn,XOM_AdjClose,XOM_LogReturn,Rf_Daily_LogReturn
1,2023-07-31,445.9210205078125,NA,194.2821044921875,NA,489.3621215820313,NA,150.70037841796875,NA,133.67999267578125,NA,99.17884063720705,NA,0.021519756297306115
2,2023-08-01,444.6450500488281,-0.2865528733419609,193.4513702392578,-0.42850853910074704,487.7869262695313,-0.3224066339569731,149.95616149902344,-0.49506219896633397,131.69000244140625,-1.499813523677851,98.605438232421875,-0.579827693631163,0.021482008760729216
3,2023-08-02,438.4596557617187,-1.4008521067105484,190.4547882080078,-1.5611330133972423,487.8449096679687,0.011886327684251796,148.25799560546875,-1.1389025026486088,128.2100067138672,-2.6781097330387027,97.37541198730467,-1.2552679457619398,0.021444257647373455
4,2023-08-03,437.2030944824219,-0.28699682416348793,189.06033325195313,-0.7348646483622545,487.9028625488281,0.011878660157371712,149.16433715820313,0.609466242705281,128.91000366210938,0.544491793249513,99.06787109375,1.7231446727636879,0.021482008760729216
5,2023-08-04,435.22564697265625,-0.45332089652223573,179.98167419433594,-4.921115199820125,485.8444213867187,-0.42278818381005223,148.84951782226563,-0.21127840050736424,139.57000732421875,7.945180513430206,99.34529876708984,0.27964661250052814,0.021482008760729216
6,2023-08-07,439.0245666503906,0.8690746720445119,176.87632751464844,-1.7404261923242181,493.58538818359375,1.5807417560123938,149.55548095703125,0.473158596363632,142.22000122070313,1.8808843040995171,99.14185333251952,-0.204996145759484,0.02155750025778169
7,2023-08-08,437.1154174804687,-0.4358098537243116,177.8158416748047,0.5297643641770655,488.8692626953125,-0.9600772330159657,148.71592712402344,-0.5629477230825408,139.94000244140625,-1.6161386274730738,99.63200378417967,0.49317495995619964,0.02159524064283354
8,2023-08-09,434.1932067871094,-0.6707661484070648,176.22360229492188,-0.899476113238773,485.2452392578125,-0.7440686182573764,146.72198486328125,-1.349842018005365,137.85000610351563,-1.5047595017538384,101.3244400024414,1.6844209641236674,0.021519756297306115
9,2023-08-10,434.3489990234375,0.03587441967853877,176.00604248046875,-0.12353295376872353,486.5692138671875,0.2724749409201088,146.50254821777344,-0.14967143722008913,138.55999755859375,0.5137245447970784,101.84236145019533,0.5098496073010494,0.021482008760729216
10,2023-08-11,434.0957336425781,-0.058326195902402844,176.06546020507813,0.033753214742038296,490.9471130371094,0.8957248733619139,147.35165405273438,0.5779112169311595,138.41000366210938,-0.10831058272495753,103.42381286621094,1.5409092246463807,0.021482008760729216
11,2023-08-14,436.4920043945313,0.5504963368447413,177.71925354003906,0.9349218984916696,493.76898193359375,0.5731350661124957,147.65695190429688,0.20697563012488374,140.57000732421875,1.5485316080358302,103.50704193115234,0.08044143007186477,0.02155750025778169
12,2023-08-15,431.4073486328125,-1.1717289380646534,175.72874450683594,-1.126349611942068,489.6714172363281,-0.8333170800244538,143.8980255126953,-2.578679820123586,137.6699981689453,-2.0846133672850264,100.84967803955078,-2.6008576446479026,0.02155750025778169
13,2023-08-16,428.2415771484375,-0.7365299253496715,174.8572998046875,-0.49713701447373637,486.64654541015625,-0.6196508966669789,143.28746032714844,-0.42520679879309853,135.07000732421875,-1.9066286976507918,99.15267181396484,-1.6970270133108478,0.02155750025778169
14,2023-08-17,424.9784851074219,-0.7648924573082638,172.3122100830078,-1.4662205316810173,477.3689880371094,-1.9248328460545139,141.79913330078125,-1.0441322610120096,133.97999572753906,-0.8102713606701784,101.0734634399414,1.9186811440592422,0.02155750025778169
15,2023-08-18,425.1830139160156,0.048115284631045085,172.79747009277344,0.2812209320386394,481.698486328125,0.9028619605961907,142.12353515625,0.22851433342561123,133.22000122070313,-0.5688597043229215,102.60260772705078,1.5015735622568194,0.021519756297306115
16,2023-08-21,427.9493408203125,0.6485128794359696,174.1343536376953,0.7706933009252737,480.9640197753906,-0.15259069312207885,142.61007690429688,0.3417525722180237,134.67999267578125,1.089963376239833,101.36248779296876,-1.2160269015459413,0.02159524064283354
17,2023-08-22,426.7902526855469,-0.27121449715608037,175.51087951660156,0.7873883926899694,475.8033752441406,-1.0787772672782303,139.6525421142578,-2.0956675318375417,134.25,-0.3197806521519908,100.7937240600586,-0.5626987451197607,0.02159524064283354
18,2023-08-23,431.5437316894531,1.107617241626624,179.3631591796875,2.1711540261105,473.0007934570313,-0.590762568379688,140.59703063964844,0.6740364254477882,135.52000427246094,0.9415529041193693,99.9079360961914,-0.8826969488406888,0.02159524064283354
19,2023-08-24,425.5628967285156,-1.3956097963979452,174.66912841796875,-2.6519083243599084,471.7057800292969,-0.2741622161298807,140.46347045898438,-0.09504017120534058,131.83999633789063,-2.7530224045928087,99.1620101928711,-0.7494143724771973,0.021632977453138996
20,2023-08-25,428.56304931640625,0.7025111320989375,176.8774871826172,1.2563840558867945,472.6915893554687,0.20877010381079586,140.29177856445313,-0.12230718145529451,133.25999450683594,1.0713027528748142,100.93360137939452,1.7707909389145016,0.02174616644234731
21,2023-08-28,431.2807312011719,0.6321359754235978,178.4421844482422,0.8807321996856743,474.7790222167969,0.4406334535890011,140.7783203125,0.3462070394269823,133.13999938964844,-0.09008643247145898,101.7820816040039,0.8371184380107977,0.021632977453138996
22,2023-08-29,437.5147705078125,1.435123982550568,182.3340301513672,2.157568331234483,476.2769470214844,0.31500271104025757,141.92312622070313,0.8099089552279004,134.91000366210938,1.3206715007284764,102.38815307617188,0.5936940350907527,0.02155750025778169
